"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000156265",1.69296390596558,-10.5529271027779,3.84394867850339,0.000332535038506304,0.00148182189850806,-0.0333001071578476
"ENSG00000138207",-1.56214800363461,-11.903605022991,-3.84326573558301,0.000333255026081132,0.00148463533879295,-0.0458591560057906
"ENSG00000207067",2.05934654504872,-8.97626343111,3.68957118870613,0.000539744542695809,0.00222679189107802,-0.606783614326217
"ENSG00000189002",1.50552477855794,-8.35813890450216,3.67443890540998,0.000565702913843663,0.00232030123114484,-0.736202096101487
"ENSG00000104881",-7.30629263509213,-2.82969167182488,-3.63369188363953,0.000641682768730908,0.00257868736034021,-0.804822350157501
"ENSG00000166819",-1.60488994281747,-11.5011234065185,-3.62055798284453,0.000668188912507576,0.00266440525805603,-0.733046771398582
"ENSG00000247627",-3.49545398908279,2.66386763849244,-3.56883222235417,0.000783121365124403,0.00305428168948773,-0.894803274007997
"ENSG00000237580",10.8467695150261,0.587209501127621,3.553804003257,0.000819906747382798,0.00317796080792814,-1.11286206631768
"ENSG00000209582",1.69487807522846,-9.39504029302705,3.51064412456291,0.000934943919410541,0.00353630879471073,-1.10178532842819
"ENSG00000236901",1.61422441922247,-8.61415779812511,3.49441368015717,0.000982061593372194,0.00368730985912904,-1.22655523304189
"ENSG00000023228",8.69015549695013,3.39732058472062,3.47144713320027,0.00105261426510884,0.00390624530113134,-1.29119008336599
"ENSG00000198868",-4.02655945749815,0.0332339847690111,-3.46406330402319,0.00107630431560489,0.00398279699807317,-1.25936531399525
"ENSG00000115163",1.8201465222639,-11.3648483684785,3.46007691924767,0.00108930415020981,0.00402295249440734,-1.06750522495484
"ENSG00000200253",3.21020373073147,-9.78592534342422,3.33156835946035,0.00159802677856179,0.00550279593815077,-1.48471303314408
"ENSG00000207765",1.62536819244398,-4.08772157695173,3.32013481599691,0.00165285210046296,0.00566178542877027,-1.85287870671859
"ENSG00000270914",2.74073164131484,-8.49488346154361,3.27934515251964,0.00186330209773239,0.0062433726520215,-1.77072114984109
"ENSG00000199753",1.94821844783109,-6.4295619712009,3.26251177895518,0.00195733250449439,0.00651199094698104,-2.00013314683523
"ENSG00000159166",-5.37144420203356,-9.05222974121548,-3.25711278523899,0.00198842843615348,0.00659339476152776,-1.94417378336018
"ENSG00000256599",1.85457027028627,-11.223642256589,3.24891567366466,0.00203653354981655,0.00672666113311327,-1.65011618394701
"ENSG00000239122",1.58492064063321,-12.4084692325511,3.24377037651591,0.00206728798777043,0.00680153835820733,-1.62555478601385
"ENSG00000118194",-2.70794706136214,2.04073249152886,-3.23921555217813,0.00209487834205097,0.00688427665029615,-1.83681584086377
